"Player","Source_Team","CAP","Pos","PTS","plusminus","Age","P_Upside","GP"
"Bryan Rust","Pittsburgh Penguins",640000,"RW",28,4,24,0.0792079207920792,57
"Cal Clutterbuck","New York Islanders",3500000,"RW",20,2,29,0.12,66
"Carl Gunnarsson","St. Louis Blues",2900000,"D",6,-5,30,0.229268292682927,56
"Carl Hagelin","Pittsburgh Penguins",4e+06,"LW",22,10,28,0.112359550561798,61
"Carl Soderberg","Colorado Avalanche",4750000,"C",14,-26,31,0.751381215469613,80
"Casey Cizikas","New York Islanders",3350000,"C",25,9,25,0.0053475935828877,59
"Cedric Paquette","Tampa Bay Lightning",812500,"C",10,-6,23,0.511627906976744,58
"Chris Stewart","Minnesota Wild",1150000,"RW",21,3,29,0.183168316831683,79
"Chris Terry","Montreal Canadiens",650000,"LW",4,-1,27,0.965317919075145,14
"Chris Wagner","Anaheim Ducks",637500,"C",7,2,25,0.27906976744186,43
"Christian Folin","Minnesota Wild",850000,"D",8,10,25,0.192893401015228,51
"Clarke MacArthur","Ottawa Senators",4650000,"LW",0,-1,31,0.635,4
"Clayton Stoner","Anaheim Ducks",3250000,"D",3,0,31,0.154639175257732,14
"Cody Eakin","Dallas Stars",3850000,"C",12,-7,25,0.338383838383838,60
"Cody McLeod","Nashville Predators",8e+05,"LW",6,-3,32,0.502890173410405,59
"Colin McDonald","Philadelphia Flyers",637500,"C",1,1,32,0.437837837837838,3
"Colin Wilson","Nashville Predators",3937500,"LW",35,7,27,0.364640883977901,70
"Colton Sceviour","Florida Panthers",950000,"C",24,-16,27,0.169398907103825,80
"Craig Smith","Nashville Predators",4250000,"RW",29,7,27,0.145348837209302,78
"Curtis McKenzie","Dallas Stars",7e+05,"LW",16,5,25,0.326633165829146,53
"Dale Weise","Philadelphia Flyers",2350000,"RW",15,1,28,0.511627906976744,64
"Dalton Prout","New Jersey Devils",1575000,"D",6,-1,26,0.878947368421053,29
"Dan Hamhuis","Dallas Stars",3750000,"D",16,-7,34,0.523255813953488,79
"Darren Helm","Detroit Red Wings",3850000,"C",17,-6,30,0.494505494505495,50
